repeat	count	RPM
RSP_LIKE.het.U_102_119888_120051	1198.67	42.35
RSP_LIKE.het.U_102_230470_230633	1245.80	44.01
RSP_LIKE.het.U_102_164899_165061	310.42	10.97
RSP_LIKE.het.U_102_149854_150015	130.20	4.60
RSP_LIKE.het.U_102_138729_138890	14.07	0.50
RSP_LIKE.het.U_102_159222_159380	27.70	0.98
RSP_LIKE.het.U_102_151461_151619	3.50	0.12
RSP_LIKE.het.U_10_4164_4325__reversed_	108.07	3.82
RSP_LIKE.het.U_10_111_266__reversed_	75.35	2.66
RSP_LIKE.het.U_102_156638_156797	23.14	0.82
RSP_LIKE.het.U_102_133906_134067	31.83	1.12
RSP_LIKE.het.U_102_232254_232416	155.19	5.48
RSP_LIKE.het.U_102_147353_147512	11.46	0.40
RSP_LIKE.het.U_102_135519_135680	16.60	0.59
RSP_LIKE.het.U_102_138080_138234	2.72	0.10
RSP_LIKE.het.U_102_135834_135988	3.50	0.12
RSP_LIKE.het.U_102_159871_160031	54.53	1.93
RSP_LIKE.het.U_102_150180_150341	273.74	9.67
RSP_LIKE.het.U_102_143092_143245	10.43	0.37
RSP_LIKE.het.U_102_182657_182817	861.56	30.44
RSP_LIKE.het.U_102_150824_150985	5323.99	188.08
RSP_LIKE.het.U_102_160841_161004	11213.15	396.13
RSP_LIKE.het.U_102_163926_164089	14925.58	527.28
RSP_LIKE.het.U_102_216478_216641	3429.72	121.16
RSP_LIKE.het.U_102_140509_140669	2.23	0.08
RSP_LIKE.het.U_102_148620_148774	14.95	0.53
RSP_LIKE.het.U_102_144676_144836	31.50	1.11
RSP_LIKE.het.U_10_1731_1892__reversed_	41.73	1.47
RSP_LIKE.het.U_102_203412_203574	532.07	18.80
RSP_LIKE.het.U_102_143732_143892	1290.50	45.59
RSP_LIKE.het.U_102_123495_123658	2089.94	73.83
RSP_LIKE.het.U_102_152091_152251	1849.14	65.32
RSP_LIKE.het.U_102_157930_158094	29.09	1.03
RSP_LIKE.het.U_102_156313_156474	28.32	1.00
RSP_LIKE.3A.X_2214193_2214327	18.07	0.64
RSP_LIKE.het.U_102_168800_168963	8.78	0.31
RSP_LIKE.het.U_102_146408_146563	2.00	0.07
RSP_LIKE.het.U_10_1_104__reversed_	0.00	0.00
RSP_LIKE.het.U_102_148778_148935	15.46	0.55
RSP_LIKE.het.U_102_132924_133092	37.23	1.32
RSP_LIKE.het.U_102_144361_144514	1326.68	46.87
RSP_LIKE.het.U_102_214694_214857	717.44	25.35
RSP_LIKE.het.U_102_153385_153549	310.99	10.99
RSP_LIKE.het.U_102_213381_213544	494.04	17.45
RSP_LIKE.het.U_102_187218_187373	8.64	0.31
RSP_LIKE.het.U_10_4000_4163__reversed_	638.96	22.57
RSP_LIKE.het.U_10_14902_15064__reversed_	176.66	6.24
RSP_LIKE.het.U_102_148473_148619	0.50	0.02
RSP_LIKE.het.U_102_150343_150501	4.64	0.16
RSP_LIKE.het.U_102_146876_147035	0.62	0.02
RSP_LIKE.het.U_102_150986_151147	3.48	0.12
RSP_LIKE.het.U_102_206200_206363	399.46	14.11
RSP_LIKE.het.U_102_136316_136474	77.51	2.74
RSP_LIKE.het.U_102_198669_198831	151.27	5.34
RSP_LIKE.het.U_102_155822_155981	73.59	2.60
RSP_LIKE.het.U_102_175822_175988	52.47	1.85
RSP_LIKE.het.U_102_168476_168636	16.13	0.57
RSP_LIKE.het.U_102_162308_162454	0.00	0.00
RSP_LIKE.het.U_102_177123_177278	1.17	0.04
RSP_LIKE.het.U_102_217133_217296	87.28	3.08
RSP_LIKE.het.U_102_127094_127254	44.61	1.58
RSP_LIKE.het.U_102_132290_132449	380.29	13.43
RSP_LIKE.het.U_102_131154_131317	5.09	0.18
RSP_LIKE.het.U_102_123985_124148	3014.62	106.50
RSP_LIKE.het.U_102_126113_126276	392.94	13.88
RSP_LIKE.het.U_10_12294_12451__reversed_	2626.83	92.80
RSP_LIKE.het.U_102_155663_155821	100.96	3.57
RSP_LIKE.het.U_102_144999_145156	1820.90	64.33
RSP_LIKE.het.U_102_137112_137262	2.00	0.07
RSP_LIKE.het.U_102_208490_208649	33.03	1.17
RSP_LIKE.het.U_102_132609_132759	182.44	6.44
RSP_LIKE.het.U_102_179241_179403	581.16	20.53
RSP_LIKE.het.U_102_204887_205050	1615.76	57.08
RSP_LIKE.het.U_102_136475_136633	36.88	1.30
RSP_LIKE.het.U_102_129036_129198	254.17	8.98
RSP_LIKE.het.U_102_170927_171091	881.71	31.15
RSP_LIKE.het.U_102_139052_139213	0.00	0.00
RSP_LIKE.het.U_102_132450_132602	1.30	0.05
RSP_LIKE.het.U_102_127415_127569	6.51	0.23
RSP_LIKE.het.U_102_141155_141316	30.58	1.08
RSP_LIKE.het.U_102_178258_178422	88.97	3.14
RSP_LIKE.het.U_102_128548_128706	137.08	4.84
RSP_LIKE.het.U_102_176810_176963	73.36	2.59
RSP_LIKE.het.U_102_166849_167010	5.64	0.20
RSP_LIKE.het.U_102_144061_144205	261.12	9.22
RSP_LIKE.het.U_102_162947_163108	10.95	0.39
RSP_LIKE.het.U_102_141481_141638	2.00	0.07
RSP_LIKE.het.U_102_143408_143567	158.66	5.60
RSP_LIKE.het.U_102_136797_136960	2.59	0.09
RSP_LIKE.het.U_102_150502_150663	21.39	0.76
RSP_LIKE.het.U_102_145949_146107	7.13	0.25
RSP_LIKE.het.U_102_155009_155171	138.37	4.89
RSP_LIKE.het.U_102_147670_147822	364.16	12.86
RSP_LIKE.het.U_102_130009_130171	82.77	2.92
RSP_LIKE.het.U_102_140833_140993	8.19	0.29
RSP_LIKE.het.U_102_142768_142929	21.38	0.76
RSP_LIKE.het.U_10_31114_31276__reversed_	593.83	20.98
RSP_LIKE.het.U_102_147983_148144	25.39	0.90
RSP_LIKE.het.U_102_155336_155497	21.35	0.75
RSP_LIKE.het.U_102_135195_135356	17.60	0.62
RSP_LIKE.het.U_102_134869_135031	41.99	1.48
RSP_LIKE.het.U_102_148306_148466	3.25	0.11
RSP_LIKE.het.U_102_142440_142603	484.43	17.11
RSP_LIKE.het.U_10_31769_31932__reversed_	2287.09	80.80
RSP_LIKE.het.U_102_159544_159706	160.54	5.67
RSP_LIKE.het.U_102_154369_154523	4.43	0.16
RSP_LIKE.het.U_102_131962_132125	5781.00	204.23
RSP_LIKE.het.U_102_180861_181023	130.62	4.61
RSP_LIKE.het.U_102_127570_127731	903.14	31.91
RSP_LIKE.het.U_102_156960_157125	27.79	0.98
RSP_LIKE.het.U_10_8225_8382__reversed_	2990.09	105.63
RSP_LIKE.het.U_102_228529_228693	156.44	5.53
RSP_LIKE.het.U_102_178588_178747	35.84	1.27
RSP_LIKE.het.U_102_175493_175656	14.98	0.53
RSP_LIKE.het.U_102_226580_226743	1870.03	66.06
RSP_LIKE.het.U_102_167823_167984	724.00	25.58
RSP_LIKE.het.U_102_158575_158734	18.00	0.64
RSP_LIKE.het.U_102_182003_182165	877.40	31.00
RSP_LIKE.het.U_102_224641_224804	10605.94	374.68
RSP_LIKE.het.U_102_231928_232090	336.45	11.89
RSP_LIKE.het.U_102_184121_184285	702.78	24.83
RSP_LIKE.het.U_10_28821_28983__reversed_	404.59	14.29
RSP_LIKE.het.U_102_161168_161331	1096.50	38.74
RSP_LIKE.het.U_102_229496_229659	761.74	26.91
RSP_LIKE.het.U_102_189987_190151	197.05	6.96
RSP_LIKE.het.U_102_172556_172720	49.47	1.75
RSP_LIKE.het.U_10_26857_27020__reversed_	1065.56	37.64
RSP_LIKE.het.U_102_118084_118247	398.61	14.08
RSP_LIKE.het.U_102_214365_214529	147.96	5.23
RSP_LIKE.het.U_102_214037_214200	813.17	28.73
RSP_LIKE.het.U_102_166524_166685	36.87	1.30
RSP_LIKE.het.U_102_173866_174029	678.22	23.96
RSP_LIKE.het.U_102_181187_181349	117.53	4.15
RSP_LIKE.het.U_102_123331_123494	3036.88	107.28
RSP_LIKE.het.U_102_174030_174193	32.05	1.13
RSP_LIKE.het.U_102_130336_130498	198.81	7.02
