repeat	count	RPM
RSP.het.utg_2021.0_300616.quiver_258778_258893__reversed_	37.30	1.13
RSP.het.utg_2021.0_300616.quiver_257845_257960__reversed_	82.04	2.48
RSP.het.utg_2021.0_300616.quiver_246880_246995__reversed_	29.80	0.90
RSP.het.utg_2021.0_300616.quiver_253181_253296__reversed_	56.63	1.71
RSP.het.G2_Rsp_corrected_mapped_consensus_2477_2593	8.58	0.26
RSP.het.G2_Rsp_corrected_mapped_consensus_257_372	43.66	1.32
RSP.het.G2_Rsp_corrected_mapped_consensus_725_841	4.46	0.13
RSP.het.utg_2021.0_300616.quiver_247578_247694__reversed_	24.79	0.75
RSP.het.G2_Rsp_corrected_mapped_consensus_23997_24114	3.26	0.10
RSP.het.G2_Rsp_corrected_mapped_consensus_17246_17361	9.58	0.29
RSP.het.utg_2021.0_300616.quiver_235693_235808__reversed_	20.96	0.63
RSP.het.G2_Rsp_corrected_mapped_consensus_8317_8433	3.92	0.12
RSP.het.G2_Rsp_corrected_mapped_consensus_10881_10996	8.31	0.25
RSP.het.utg_2021.0_300616.quiver_228564_228679__reversed_	14.55	0.44
RSP.het.utg_2021.0_300616.quiver_290294_290409__reversed_	5.22	0.16
RSP.het.utg_2021.0_300616.quiver_184175_184290__reversed_	2.35	0.07
RSP.het.utg_2021.0_300616.quiver_151562_151677	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_298159_298274__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_168241_168356	9.26	0.28
RSP.het.utg_2021.0_300616.quiver_152234_152349	2.87	0.09
RSP.het.utg_2021.0_300616.quiver_289739_289854__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_198174_198289__reversed_	3.94	0.12
RSP.het.utg_2021.0_300616.quiver_195301_195414__reversed_	6.16	0.19
RSP.het.utg_2021.0_300616.quiver_202791_202906__reversed_	1.52	0.05
RSP.het.utg_2021.0_300616.quiver_284165_284278__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_296168_296280__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_297935_298050__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_193359_193472__reversed_	20.26	0.61
RSP.het.utg_2021.0_300616.quiver_139124_139236	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_168706_168819	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_299613_299725__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_296983_297097__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_194604_194717__reversed_	4.71	0.14
