"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"conRPM"	"ncountsRPM"	"nconRPM"
"485"	"1.688.seq485.count:1"	15.57	1	362	1e-05	0.15	1.34	0.15	0.111940298507463
"488"	"1.688.seq488.count:1"	15.38	1	359	1e-05	0.15	1.03	0.15	0.145631067961165
"490"	"1.688.seq490.count:1"	16	1	354	2e-05	0.15	0.91	0.15	0.164835164835165
"545"	"1.688.seq545.count:1"	16.03	1	345	2e-05	0.15	0.77	0.15	0.194805194805195
"557"	"1.688.seq557.count:1"	15.6	1	358	1e-05	0.15	0.63	0.15	0.238095238095238
"614"	"1.688.seq614.count:1"	16	1	344	2e-05	0.15	0.54	0.15	0.277777777777778
"615"	"1.688.seq615.count:1"	15.9	1	241	2e-05	0.15	0.96	0.15	0.15625
"620"	"1.688.seq620.count:1"	16	1	345	2e-05	0.15	1.18	0.15	0.127118644067797
"739"	"1.688.seq739.count:1"	15.52	1	346	1e-05	0.15	0.91	0.15	0.164835164835165
"903"	"1.688.seq903.count:1"	15.82	1	358	2e-05	0.15	0.57	0.15	0.263157894736842
"987"	"1.688.seq987.count:1"	15.86	1	347	2e-05	0.15	0.71	0.15	0.211267605633803
"1041"	"1.688.seq1041.count:1"	16.01	1	360	2e-05	0.15	0.44	0.15	0.340909090909091
"1172"	"1.688.seq1172.count:1"	16	1	322	2e-05	0.15	0.53	0.15	0.283018867924528
"1188"	"1.688.seq1188.count:1"	15.39	1	340	1e-05	0.15	0.85	0.15	0.176470588235294
"1398"	"1.688.seq1398.count:1"	15.81	1	361	2e-05	0.15	0.49	0.15	0.306122448979592
"1410"	"1.688.seq1410.count:1"	16	1	345	2e-05	0.15	0.52	0.15	0.288461538461538
"43"	"1.688.seq43.count:3"	14.64	3	1053	1e-05	0.14	1.9	0.0466666666666667	0.0736842105263158
"62"	"1.688.seq62.count:3"	14.45	3	1077	1e-05	0.14	0.5	0.0466666666666667	0.28
"128"	"1.688.seq128.count:2"	14.17	2	716	1e-05	0.14	1.01	0.07	0.138613861386139
"207"	"1.688.seq207.count:1"	15.1	1	359	1e-05	0.14	1.34	0.14	0.104477611940299
"245"	"1.688.seq245.count:1"	15	1	351	1e-05	0.14	0.67	0.14	0.208955223880597
"261"	"1.688.seq261.count:1"	14.35	1	351	1e-05	0.14	0.85	0.14	0.164705882352941
"271"	"1.688.seq271.count:1"	14.65	1	347	1e-05	0.14	0.45	0.14	0.311111111111111
