repeat	count	RPM
1.688.3A.X_2422297_2422609__reversed_	8.74	0.26
1.688.6E.X_7017241_7017554__reversed_	0.56	0.02
1.688.3A.X_2423012_2423324__reversed_	1.79	0.05
1.688.3A.X_2422654_2422966__reversed_	5.64	0.17
1.688.3A.X_2421939_2422251__reversed_	5.49	0.17
1.688.3A.X_2420866_2421178__reversed_	8.04	0.24
1.688.3A.X_2420149_2420461__reversed_	3.82	0.12
1.688.7A.X_7243266_7243581	2.18	0.07
1.688.7A.X_7242909_7243257	0.69	0.02
1.688.7A.X_7213003_7213312	0.92	0.03
1.688.7B.X_7441921_7442225	0.00	0.00
1.688.6E.X_6926897_6927211__reversed_	0.39	0.01
1.688.6E.X_6956878_6957181	5.12	0.15
1.688.6E.X_6956520_6956833	8.85	0.27
1.688.6E.X_6954009_6954322	9.53	0.29
1.688.6E.X_6955443_6955756	12.99	0.39
1.688.6E.X_6955801_6956114	11.50	0.35
1.688.6E.X_6953650_6953964	7.22	0.22
1.688.6E.X_6954367_6954681	3.99	0.12
1.688.6E.X_6954726_6955040	6.58	0.20
1.688.6E.X_6953292_6953605	5.66	0.17
1.688.6E.X_6956159_6956472	11.74	0.36
1.688.6F.X_7116558_7116872__reversed_	0.85	0.03
1.688.6E.X_7017599_7017910__reversed_	0.15	0.00
1.688.6E.X_7018311_7018624__reversed_	4.06	0.12
1.688.6E.X_7017954_7018267__reversed_	1.64	0.05
1.688.6E.X_7018668_7018981__reversed_	2.68	0.08
1.688.6E.X_6955085_6955398	14.02	0.42
1.688.5E.X_6207495_6207849__reversed_	0.36	0.01
1.688.5D.X_6023844_6024180__reversed_	1.27	0.04
1.688.5D.X_5979616_5979944__reversed_	0.00	0.00
1.688.5D.X_6023480_6023825__reversed_	0.61	0.02
1.688.5D.X_5979973_5980307__reversed_	0.87	0.03
1.688.5D.X_5993470_5993811	0.75	0.02
1.688.4C.X_4487172_4487509	3.07	0.09
1.688.7A.X_7187744_7188064__reversed_	2.13	0.06
1.688.6F.X_7145451_7145753	0.04	0.00
1.688.13E.X_15597854_15598203__reversed_	0.40	0.01
1.688.8C.X_9005440_9005781__reversed_	2.00	0.06
1.688.8C.X_9036962_9037281__reversed_	0.00	0.00
1.688.8C.X_9137711_9138072__reversed_	4.95	0.15
1.688.8C.X_9138434_9138794__reversed_	2.95	0.09
1.688.8C.X_9138073_9138433__reversed_	1.20	0.04
1.688.8B.X_8909408_8909737__reversed_	0.00	0.00
1.688.10A.X_11041010_11041336__reversed_	0.76	0.02
1.688.10A.X_11040644_11041003__reversed_	0.20	0.01
1.688.10A.X_10990879_10991232	2.95	0.09
1.688.10A.X_10990158_10990511	3.34	0.10
1.688.10A.X_10990518_10990872	0.97	0.03
1.688.9F.X_10830858_10831211	1.13	0.03
1.688.9F.X_10919269_10919628	1.00	0.03
1.688.9F.X_10918909_10919268	1.45	0.04
1.688.9F.X_10830500_10830851	1.14	0.03
1.688.10B.X_11230697_11231058__reversed_	0.89	0.03
1.688.7F.X_8530665_8531012__reversed_	0.00	0.00
1.688.7F.X_8495635_8495983__reversed_	12.49	0.38
1.688.12B.X_13680851_13681186	0.00	0.00
1.688.11A.X_12371530_12371889__reversed_	1.36	0.04
1.688.11A.X_12371176_12371529__reversed_	0.64	0.02
1.688.10F.X_11890091_11890450	8.67	0.26
1.688.10F.X_11890451_11890804	6.10	0.18
1.688.10F.X_11889731_11890084	9.43	0.29
1.688.10F.X_11890811_11891170	11.58	0.35
1.688.10F.X_11889371_11889730	3.58	0.11
1.688.11A.X_12124238_12124586	4.69	0.14
1.688.8B.X_8840473_8840830	2.83	0.09
1.688.8A.X_8750925_8751284__reversed_	3.89	0.12
1.688.8A.X_8751645_8752004__reversed_	5.73	0.17
1.688.8A.X_8735451_8735804	6.14	0.19
1.688.8B.X_8840860_8841210	3.54	0.11
1.688.8A.X_8735091_8735450	5.86	0.18
1.688.7F.X_8577596_8577955__reversed_	7.58	0.23
1.688.8A.X_8752005_8752364__reversed_	9.54	0.29
1.688.8A.X_8751285_8751644__reversed_	4.28	0.13
1.688.8A.X_8750565_8750924__reversed_	9.85	0.30
1.688.8A.X_8752365_8752724__reversed_	1.85	0.06
1.688.8A.X_8699571_8699929	7.40	0.22
1.688.8A.X_8699930_8700289	11.07	0.34
1.688.8A.X_8700290_8700649	4.43	0.13
1.688.8A.X_8699211_8699570	2.31	0.07
1.688.8A.X_8701369_8701728	10.43	0.32
1.688.8A.X_8701009_8701368	8.63	0.26
1.688.8A.X_8700650_8701008	9.48	0.29
1.688.8A.X_8702090_8702442	2.93	0.09
1.688.8A.X_8701729_8702088	8.07	0.24
1.688.8B.X_8827629_8827989__reversed_	33.66	1.02
1.688.7F.X_8577962_8578266__reversed_	0.34	0.01
1.688.7D.X_8021730_8022072__reversed_	0.00	0.00
1.688.12A.X_13474527_13474886__reversed_	1.68	0.05
1.688.13B.X_15221292_15221644	2.15	0.07
1.688.13A.X_14914976_14915335__reversed_	0.82	0.02
1.688.9D.X_10488835_10489186	3.50	0.11
1.688.13B.X_15221645_15222005	8.85	0.27
1.688.12B.X_13693377_13693736	0.51	0.02
1.688.12B.X_13693024_13693376	1.49	0.05
1.688.11F.X_13361686_13362045	1.34	0.04
1.688.11A.X_12093291_12093637__reversed_	1.00	0.03
1.688.11A.X_12188589_12188948__reversed_	1.13	0.03
