repeat	count	RPM
1.688.6E.X_6702514_6702826__reversed_	62.73	5.53
1.688.6E.X_6703955_6704265__reversed_	82.89	7.31
1.688.6E.X_6705185_6705498__reversed_	59.27	5.22
1.688.6E.X_6706650_6706963__reversed_	85.41	7.53
1.688.6E.X_6697566_6697878__reversed_	96.35	8.49
1.688.6E.X_6694166_6694478__reversed_	58.93	5.19
1.688.6E.X_6693809_6694121__reversed_	53.92	4.75
1.688.6E.X_6696277_6696589__reversed_	84.20	7.42
1.688.6E.X_6698638_6698951__reversed_	60.96	5.37
1.688.6E.X_6697923_6698235__reversed_	57.79	5.09
1.688.7A.X_7019699_7019999	9.71	0.86
1.688.7A.X_6990059_6990373	3.27	0.29
1.688.7A.X_7020046_7020357	5.09	0.45
1.688.7A.X_6989704_6990034	7.55	0.67
1.688.7B.X_7219268_7219575	5.94	0.52
1.688.5D.X_5816158_5816484__reversed_	50.61	4.46
1.688.5D.X_5817196_5817526__reversed_	64.40	5.68
1.688.5D.X_5819236_5819567__reversed_	120.65	10.64
1.688.5D.X_5817555_5817885__reversed_	51.36	4.53
1.688.5D.X_5818158_5818487__reversed_	35.41	3.12
1.688.5D.X_5818513_5818847__reversed_	92.95	8.19
1.688.5D.X_5815798_5816129__reversed_	44.24	3.90
1.688.5D.X_5816517_5816844__reversed_	62.13	5.48
1.688.5D.X_5818876_5819207__reversed_	134.07	11.82
1.688.5D.X_5815437_5815769__reversed_	29.37	2.59
1.688.5D.X_5819593_5819914__reversed_	112.23	9.89
1.688.5D.X_5771151_5771481__reversed_	7.81	0.69
1.688.5D.X_5784766_5785096	3.51	0.31
1.688.5D.X_5785845_5786175	7.81	0.69
1.688.5D.X_5785125_5785455	15.89	1.40
1.688.5D.X_5785484_5785816	13.19	1.16
1.688.5D.X_5770429_5770761__reversed_	17.31	1.53
1.688.5D.X_5770790_5771122__reversed_	20.73	1.83
1.688.7A.X_6964259_6964565__reversed_	6.66	0.59
1.688.7C.X_7625739_7626082	7.62	0.67
1.688.7B.X_7562563_7562917__reversed_	4.87	0.43
1.688.7B.X_7527611_7527960	17.53	1.55
1.688.7B.X_7527270_7527603	5.74	0.51
1.688.7F.X_8390686_8391028	10.35	0.91
1.688.8A.X_8441682_8442027__reversed_	10.40	0.92
1.688.7F.X_8391762_8392082	4.78	0.42
1.688.8A.X_8442042_8442384__reversed_	3.01	0.27
1.688.7F.X_8391043_8391387	16.36	1.44
1.688.8A.X_8442399_8442744__reversed_	8.43	0.74
1.688.7F.X_8391402_8391747	10.26	0.90
1.688.7C.X_7779929_7780269__reversed_	1.59	0.14
1.688.7C.X_7768687_7769027__reversed_	2.83	0.25
1.688.4F.X_4933204_4933545__reversed_	4.88	0.43
1.688.2A.X_1449096_1449423	9.68	0.85
1.688.2B.X_1525557_1525902	17.30	1.53
1.688.2B.X_1824018_1824364	5.82	0.51
1.688.2B.X_1778423_1778769__reversed_	3.80	0.33
1.688.2B.X_1679848_1680185__reversed_	11.25	0.99
1.688.10A.X_10888141_10888478__reversed_	5.35	0.47
1.688.10A.X_10855684_10856018	3.04	0.27
1.688.10A.X_10854964_10855308	4.76	0.42
1.688.10A.X_10855325_10855666	5.22	0.46
1.688.10B.X_11039557_11039895	3.28	0.29
1.688.10B.X_11019647_11019996__reversed_	9.44	0.83
1.688.10B.X_11077533_11077836__reversed_	0.54	0.05
1.688.10B.X_11075996_11076346__reversed_	3.90	0.34
1.688.10B.X_11076348_11076683__reversed_	2.82	0.25
1.688.10B.X_11019288_11019617__reversed_	9.70	0.86
1.688.10B.X_10978532_10978880__reversed_	5.07	0.45
1.688.10B.X_10978175_10978524__reversed_	12.92	1.14
1.688.10A.X_10960281_10960619	4.15	0.37
1.688.10B.X_11039898_11040239	2.99	0.26
1.688.10A.X_10959925_10960263	2.59	0.23
1.688.4F.X_5059974_5060278	7.96	0.70
1.688.13E.X_15559566_15559881__reversed_	0.66	0.06
1.688.11A.X_11797422_11797763	22.34	1.97
1.688.8B.X_8658692_8659034__reversed_	1.00	0.09
1.688.8B.X_8724491_8724834	4.31	0.38
1.688.11C.X_12593980_12594336	3.08	0.27
1.688.11D.X_12725729_12726084	2.64	0.23
1.688.11D.X_12855030_12855385__reversed_	3.27	0.29
1.688.12C.X_13725979_13726336__reversed_	4.32	0.38
1.688.12C.X_13646370_13646726	35.43	3.12
1.688.12C.X_13651804_13652158	20.43	1.80
1.688.12C.X_13658972_13659328	82.96	7.31
1.688.12C.X_13649089_13649445	66.99	5.91
1.688.12C.X_13652870_13653226	31.30	2.76
1.688.12C.X_13657503_13657859	61.27	5.40
1.688.12C.X_13662185_13662541	55.53	4.90
1.688.12C.X_13655004_13655360	51.85	4.57
1.688.12C.X_13653581_13653937	43.74	3.86
1.688.12C.X_13663613_13663969	66.68	5.88
1.688.12C.X_13656789_13657145	74.05	6.53
1.688.12C.X_13660400_13660756	73.71	6.50
1.688.12C.X_13659686_13660042	79.71	7.03
1.688.12C.X_13648375_13648731	67.03	5.91
1.688.12C.X_13654293_13654648	20.36	1.80
1.688.12C.X_13646727_13647083	48.93	4.31
1.688.12C.X_13660043_13660399	90.27	7.96
1.688.12C.X_13649446_13649802	78.19	6.89
1.688.12C.X_13651447_13651803	36.41	3.21
1.688.12C.X_13648018_13648374	75.83	6.68
1.688.12C.X_13659329_13659685	66.03	5.82
1.688.12C.X_13661114_13661470	78.56	6.93
1.688.12C.X_13658615_13658971	85.54	7.54
1.688.12C.X_13652514_13652869	25.03	2.21
1.688.12C.X_13655361_13655717	48.62	4.29
1.688.12C.X_13650384_13650740	51.66	4.55
1.688.12C.X_13657860_13658216	68.40	6.03
1.688.12C.X_13662542_13662898	56.97	5.02
1.688.12C.X_13663970_13664326	64.11	5.65
1.688.12C.X_13650027_13650383	73.02	6.44
1.688.12C.X_13647661_13648017	60.36	5.32
1.688.12C.X_13660757_13661113	78.83	6.95
1.688.12C.X_13648732_13649088	63.95	5.64
1.688.12C.X_13651056_13651409	35.03	3.09
1.688.12C.X_13664330_13664684	41.21	3.63
1.688.11B.X_12468449_12468806	100.86	8.89
1.688.11C.X_12593622_12593979	35.91	3.17
1.688.11B.X_12469879_12470236	96.68	8.52
1.688.11B.X_12471307_12471664	87.91	7.75
1.688.11B.X_12474165_12474522	89.71	7.91
1.688.11B.X_12471983_12472340	57.73	5.09
1.688.11B.X_12472736_12473093	97.24	8.57
1.688.11B.X_12479176_12479533	100.72	8.88
1.688.11B.X_12467376_12467733	99.14	8.74
1.688.11B.X_12474523_12474880	110.30	9.72
1.688.11B.X_12467734_12468091	117.79	10.38
1.688.11B.X_12473450_12473807	86.19	7.60
1.688.11B.X_12470237_12470593	50.23	4.43
1.688.11B.X_12466622_12466979	58.98	5.20
1.688.11B.X_12467017_12467375	60.72	5.35
1.688.11D.X_12724952_12725309	5.55	0.49
1.688.11C.X_12628655_12629007__reversed_	9.00	0.79
1.688.11A.X_12213519_12213860	10.72	0.94
1.688.9A.X_9738455_9738775	5.71	0.50
1.688.8F.X_9493238_9493564__reversed_	1.04	0.09
1.688.9A.X_9614948_9615291	0.14	0.01
1.688.5E.X_6095883_6096237__reversed_	12.21	1.08
1.688.5E.X_6095200_6095557__reversed_	11.32	1.00
1.688.8B.X_8749552_8749905__reversed_	1.23	0.11
1.688.8B.X_8740021_8740371	5.89	0.52
1.688.8B.X_8713456_8713815__reversed_	2.76	0.24
1.688.11E.X_12930836_12931194	4.60	0.41
1.688.8D.X_9173491_9173852	7.92	0.70
1.688.8D.X_9150748_9151106	7.88	0.69
1.688.8D.X_9090711_9091067__reversed_	15.06	1.33
1.688.8D.X_9090358_9090709__reversed_	11.46	1.01
1.688.9A.X_9661838_9662195__reversed_	2.01	0.18
1.688.9A.X_9647948_9648305	0.08	0.01
1.688.8E.X_9294450_9294808	0.00	0.00
1.688.8E.X_9314551_9314911__reversed_	3.58	0.32
1.688.9A.X_9648649_9648978	0.23	0.02
1.688.9A.X_9662196_9662554__reversed_	5.23	0.46
1.688.8F.X_9404481_9404839	10.93	0.96
1.688.8C.X_8889549_8889906	11.58	1.02
1.688.8F.X_9492877_9493237__reversed_	1.28	0.11
1.688.9A.X_9553314_9553671__reversed_	11.15	0.98
1.688.9A.X_9552941_9553273__reversed_	3.43	0.30
1.688.9A.X_9687135_9687492	9.46	0.83
1.688.9A.X_9768247_9768597__reversed_	0.45	0.04
1.688.9A.X_9701240_9701595__reversed_	7.27	0.64
1.688.9A.X_9837639_9837997__reversed_	8.19	0.72
1.688.9B.X_9945584_9945939	1.00	0.09
1.688.9B.X_9902699_9903058__reversed_	5.01	0.44
1.688.9A.X_9797053_9797412	4.40	0.39
1.688.9A.X_9659192_9659533__reversed_	1.03	0.09
1.688.8E.X_9337552_9337893__reversed_	5.07	0.45
1.688.9B.X_9945224_9945583	5.36	0.47
1.688.9B.X_10041088_10041447__reversed_	7.21	0.64
1.688.9B.X_10019088_10019446	5.98	0.53
1.688.9B.X_9885133_9885490__reversed_	8.00	0.71
1.688.10D.X_11460459_11460809	3.84	0.34
1.688.8F.X_9489705_9490063__reversed_	3.75	0.33
1.688.8E.X_9314192_9314550__reversed_	2.72	0.24
1.688.9A.X_9584292_9584650	8.75	0.77
1.688.9A.X_9583933_9584291	8.24	0.73
1.688.8F.X_9507944_9508299	2.76	0.24
1.688.8D.X_9173853_9174210	6.80	0.60
1.688.8F.X_9405237_9405594	7.72	0.68
1.688.8F.X_9404878_9405236	8.17	0.72
1.688.8E.X_9378400_9378755__reversed_	3.44	0.30
1.688.8F.X_9404136_9404480	6.00	0.53
1.688.8D.X_9199595_9199953__reversed_	5.48	0.48
1.688.12A.X_13328120_13328477__reversed_	7.55	0.67
1.688.9A.X_9755759_9756115__reversed_	5.81	0.51
1.688.9B.X_10061645_10062004	13.54	1.19
1.688.9B.X_10062005_10062352	2.83	0.25
1.688.3B.X_2717379_2717725__reversed_	17.91	1.58
1.688.1D.X_968793_969127__reversed_	11.33	1.00
1.688.1D.X_885281_885631	7.25	0.64
1.688.11A.X_11802065_11802423	11.30	1.00
1.688.11B.X_12555259_12555616	3.11	0.27
1.688.11B.X_12554900_12555258	6.53	0.58
1.688.11A.X_12213162_12213518	8.56	0.75
1.688.11B.X_12319542_12319897	3.73	0.33
1.688.11A.X_12299062_12299418__reversed_	5.50	0.48
1.688.11D.X_12855386_12855743__reversed_	4.41	0.39
1.688.11A.X_12268654_12269008__reversed_	1.59	0.14
1.688.10E.X_11521989_11522344__reversed_	6.13	0.54
1.688.10E.X_11499118_11499475	2.00	0.18
1.688.8B.X_8659037_8659375__reversed_	4.37	0.39
1.688.4F.X_5256009_5256367	10.48	0.92
1.688.5A.X_5293083_5293431__reversed_	2.56	0.23
1.688.5A.X_5293432_5293790__reversed_	14.96	1.32
1.688.5A.X_5293791_5294149__reversed_	11.70	1.03
1.688.4F.X_5256406_5256757	6.16	0.54
1.688.5A.X_5281426_5281784__reversed_	15.34	1.35
1.688.4F.X_5236522_5236880	52.14	4.60
1.688.4F.X_5236881_5237239	67.13	5.92
1.688.5A.X_5318102_5318448	62.47	5.51
1.688.5A.X_5317744_5318101	107.38	9.47
1.688.5A.X_5319373_5319731	250.01	22.04
1.688.5A.X_5319016_5319372	99.52	8.77
1.688.5A.X_5313740_5314086	31.72	2.80
1.688.5A.X_5315574_5315932	156.76	13.82
1.688.5A.X_5315933_5316291	115.93	10.22
1.688.5A.X_5314087_5314445	90.49	7.98
1.688.5A.X_5314446_5314804	98.54	8.69
1.688.5A.X_5320344_5320677	17.36	1.53
1.688.5A.X_5312464_5312824	93.16	8.21
1.688.5A.X_5312825_5313183	132.68	11.70
1.688.5A.X_5319732_5320090	160.15	14.12
1.688.5A.X_5322652_5323010	43.35	3.82
1.688.5A.X_5321574_5321932	49.86	4.40
1.688.5A.X_5322293_5322651	38.84	3.42
1.688.4F.X_5236163_5236521	48.13	4.24
1.688.5A.X_5321215_5321573	72.18	6.36
1.688.5A.X_5374833_5375191	6.52	0.57
1.688.5A.X_5375912_5376268	11.47	1.01
1.688.5A.X_5375194_5375550	10.84	0.96
1.688.5A.X_5375553_5375909	12.77	1.13
1.688.5A.X_5316828_5317186	289.47	25.52
1.688.5A.X_5321933_5322292	67.51	5.95
1.688.5C.X_5610427_5610786__reversed_	13.94	1.23
1.688.5C.X_5641327_5641686	10.21	0.90
1.688.5C.X_5662752_5663111__reversed_	14.90	1.31
1.688.5A.X_5509564_5509916__reversed_	0.00	0.00
1.688.5C.X_5568035_5568394	13.77	1.21
1.688.5C.X_5567675_5568034	9.18	0.81
1.688.5C.X_5568395_5568749	5.71	0.50
1.688.5F.X_6132423_6132782__reversed_	8.32	0.73
1.688.5F.X_6132062_6132422__reversed_	9.01	0.79
1.688.5C.X_5610787_5611146__reversed_	6.80	0.60
1.688.5C.X_5641687_5642045	7.43	0.65
1.688.4F.X_5255652_5256008	5.11	0.45
1.688.8C.X_8889189_8889542	1.27	0.11
1.688.8C.X_8810366_8810701	4.95	0.44
1.688.11F.X_13225149_13225496__reversed_	10.44	0.92
1.688.9A.X_9703122_9703435__reversed_	2.82	0.25
1.688.9A.X_9770603_9770958__reversed_	0.28	0.02
1.688.8B.X_8697121_8697465__reversed_	0.15	0.01
1.688.10B.X_11000835_11001183__reversed_	2.86	0.25
1.688.10B.X_11001190_11001544__reversed_	4.36	0.38
1.688.11A.X_11938802_11939187__reversed_	3.52	0.31
1.688.11A.X_11880721_11881088	4.20	0.37
1.688.11A.X_12142465_12142819__reversed_	10.11	0.89
